source,name,description,unit,period,granularity,reason
sddp_previous,README.md,Dato historico local proveniente del proyecto SDDP anterior.,no aplica/no documentada, a ,catalogo/documentacion,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,dispatch_hidrotermico.md,Dato historico local proveniente del proyecto SDDP anterior.,no aplica/no documentada, a ,catalogo/documentacion,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,aportes_2010_2026.csv,Dato historico local proveniente del proyecto SDDP anterior.,indice/valor Sistema; unidad hidrologica no documentada en archivo,2010-01-01 a 2026-06-01,diaria con columnas horarias en precios,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,generacion_2023_2026.csv,Dato historico local proveniente del proyecto SDDP anterior.,kWh y GWh en columnas hidro/termo,2023-01-01 a 2026-05-31,diaria con columnas horarias en precios,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,listado_plantas.csv,Dato historico local proveniente del proyecto SDDP anterior.,no aplica/no documentada,2026-06-03 a 2026-06-03,catalogo/documentacion,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,precio_oferta_historical.csv,Dato historico local proveniente del proyecto SDDP anterior.,COP/kWh segun archivos heredados; requiere confirmacion XM por metrica,2010-01-01 a 2026-06-30,diaria con columnas horarias en precios,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,precio_bolsa_2010_2026.csv,Dato historico local proveniente del proyecto SDDP anterior.,COP/kWh segun archivos heredados; requiere confirmacion XM por metrica,2010-01-01 a 2026-05-31,diaria con columnas horarias en precios,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,sim_normal.npy,Dato historico local proveniente del proyecto SDDP anterior.,no aplica/no documentada, a ,catalogo/documentacion,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,sim_nino.npy,Dato historico local proveniente del proyecto SDDP anterior.,no aplica/no documentada, a ,catalogo/documentacion,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
sddp_previous,embalses_historico.csv,Dato historico local proveniente del proyecto SDDP anterior.,no aplica/no documentada, a ,catalogo/documentacion,Auditar antecedentes y datos historicos descargados; no reutilizar parametros hardcoded.
embalses_manu,README.md,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,baseindices.parquet,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2013-01-01 a 2026-05-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,resultados.parquet,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2013-01-01 a 2027-05-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,predicciones_multihorizonte.parquet,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2020-01-01 a 2025-12-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,predicciones_walkforward.parquet,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2021-01-01 a 2025-12-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,metricas_modelo.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,validacion_multihorizonte.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
