Date,Id,code,name,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,5122368.67,kWh,kWh,False,,5.122368669999999
2026-06-01,Rio,CHINCHINA,CHINCHINA,1588870.75,kWh,kWh,False,,1.5888707499999999
2026-06-01,Rio,CHUZA,CHUZA,5647936.22,kWh,kWh,False,,5.647936219999999
2026-06-01,Rio,CONCEPCION,CONCEPCION,1746135.05,kWh,kWh,False,,1.74613505
2026-06-01,Rio,CUCUANA,CUCUANA,1012043.62,kWh,kWh,False,,1.01204362
2026-06-01,Rio,DESV. BATATAS,DESV. BATATAS,1928780.14,kWh,kWh,False,,1.9287801399999998
2026-06-01,Rio,DESV. CHIVOR,DESV. CHIVOR,2304148.61,kWh,kWh,False,,2.30414861
2026-06-01,Rio,"DESV. EEPPM (NEC,PAJ,DOL)","DESV. EEPPM (NEC,PAJ,DOL)",1809421.66,kWh,kWh,False,,1.80942166
2026-06-01,Rio,DESV. GUARINO,DESV. GUARINO,29695.68,kWh,kWh,False,,0.02969568
2026-06-02,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,4251868.51,kWh,kWh,False,,4.2518685099999995
2026-06-02,Rio,CHINCHINA,CHINCHINA,1422242.69,kWh,kWh,False,,1.4222426899999998
2026-06-02,Rio,CHUZA,CHUZA,9926209.44,kWh,kWh,False,,9.92620944
2026-06-02,Rio,CONCEPCION,CONCEPCION,1763395.03,kWh,kWh,False,,1.7633950299999999
2026-06-02,Rio,CUCUANA,CUCUANA,943527.26,kWh,kWh,False,,0.94352726
2026-06-02,Rio,DESV. BATATAS,DESV. BATATAS,2566198.3,kWh,kWh,False,,2.5661982999999995
2026-06-02,Rio,DESV. CHIVOR,DESV. CHIVOR,2424549.82,kWh,kWh,False,,2.4245498199999997
2026-06-02,Rio,"DESV. EEPPM (NEC,PAJ,DOL)","DESV. EEPPM (NEC,PAJ,DOL)",1809421.66,kWh,kWh,False,,1.80942166
2026-06-03,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,4251251.14,kWh,kWh,False,,4.251251139999999
2026-06-03,Rio,CHINCHINA,CHINCHINA,1153276.13,kWh,kWh,False,,1.1532761299999998
2026-06-03,Rio,CHUZA,CHUZA,7806309.67,kWh,kWh,False,,7.806309669999999
2026-06-03,Rio,CONCEPCION,CONCEPCION,1970514.84,kWh,kWh,False,,1.97051484
2026-06-03,Rio,CUCUANA,CUCUANA,943527.26,kWh,kWh,False,,0.94352726
2026-06-03,Rio,DESV. BATATAS,DESV. BATATAS,2823526.37,kWh,kWh,False,,2.82352637
2026-06-03,Rio,DESV. CHIVOR,DESV. CHIVOR,2325395.88,kWh,kWh,False,,2.32539588
2026-06-03,Rio,"DESV. EEPPM (NEC,PAJ,DOL)","DESV. EEPPM (NEC,PAJ,DOL)",1527508.58,kWh,kWh,False,,1.5275085800000001
2026-06-04,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,6000277.34,kWh,kWh,False,,6.000277339999999
2026-06-04,Rio,CHINCHINA,CHINCHINA,1153276.13,kWh,kWh,False,,1.1532761299999998
2026-06-04,Rio,CHUZA,CHUZA,2408452.37,kWh,kWh,False,,2.40845237
2026-06-04,Rio,CONCEPCION,CONCEPCION,1970514.84,kWh,kWh,False,,1.97051484
2026-06-04,Rio,CUCUANA,CUCUANA,1627263.36,kWh,kWh,False,,1.62726336
2026-06-04,Rio,DESV. BATATAS,DESV. BATATAS,2490652.44,kWh,kWh,False,,2.49065244
2026-06-04,Rio,DESV. CHIVOR,DESV. CHIVOR,2304148.61,kWh,kWh,False,,2.30414861
2026-06-04,Rio,"DESV. EEPPM (NEC,PAJ,DOL)","DESV. EEPPM (NEC,PAJ,DOL)",1527508.58,kWh,kWh,False,,1.5275085800000001
2026-06-04,Rio,DESV. MANSO,DESV. MANSO,3959.42,kWh,kWh,False,,0.00395942
2026-06-05,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,5571818.4,kWh,kWh,False,,5.5718184
2026-06-05,Rio,CHINCHINA,CHINCHINA,1186076.93,kWh,kWh,False,,1.1860769299999998
2026-06-05,Rio,CHUZA,CHUZA,9880041.02,kWh,kWh,False,,9.880041019999998
2026-06-05,Rio,CONCEPCION,CONCEPCION,1884214.92,kWh,kWh,False,,1.8842149199999998
2026-06-05,Rio,CUCUANA,CUCUANA,1962708.0,kWh,kWh,False,,1.962708
2026-06-05,Rio,DESV. BATATAS,DESV. BATATAS,3739519.87,kWh,kWh,False,,3.73951987
2026-06-05,Rio,DESV. CHIVOR,DESV. CHIVOR,2861299.3,kWh,kWh,False,,2.8612992999999998
2026-06-05,Rio,"DESV. EEPPM (NEC,PAJ,DOL)","DESV. EEPPM (NEC,PAJ,DOL)",1766271.7,kWh,kWh,False,,1.7662717
2026-06-05,Rio,DESV. GUARINO,DESV. GUARINO,974018.3,kWh,kWh,False,,0.9740183
2026-06-05,Rio,DESV. MANSO,DESV. MANSO,90571.82,kWh,kWh,False,,0.09057182
2026-06-06,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,4711196.26,kWh,kWh,False,,4.7111962599999995
2026-06-06,Rio,CHINCHINA,CHINCHINA,1211005.54,kWh,kWh,False,,1.21100554
2026-06-06,Rio,CHUZA,CHUZA,5232420.48,kWh,kWh,False,,5.23242048
2026-06-06,Rio,CONCEPCION,CONCEPCION,2097088.06,kWh,kWh,False,,2.09708806
2026-06-06,Rio,CUCUANA,CUCUANA,1761441.22,kWh,kWh,False,,1.7614412199999998
2026-06-06,Rio,DESV. BATATAS,DESV. BATATAS,2891989.8,kWh,kWh,False,,2.8919897999999997
2026-06-06,Rio,DESV. CHIVOR,DESV. CHIVOR,1201651.27,kWh,kWh,False,,1.20165127
2026-06-06,Rio,"DESV. EEPPM (NEC,PAJ,DOL)","DESV. EEPPM (NEC,PAJ,DOL)",1746135.05,kWh,kWh,False,,1.74613505
2026-06-06,Rio,DESV. GUARINO,DESV. GUARINO,222222.67,kWh,kWh,False,,0.22222267
2026-06-07,Rio,CAUCA SALVAJINA,CAUCA SALVAJINA,4686501.22,kWh,kWh,False,,4.686501219999999
2026-06-07,Rio,CHINCHINA,CHINCHINA,1211005.54,kWh,kWh,False,,1.21100554
2026-06-07,Rio,CHUZA,CHUZA,8064083.33,kWh,kWh,False,,8.064083329999999
2026-06-07,Rio,CONCEPCION,CONCEPCION,2534340.98,kWh,kWh,False,,2.53434098
