Date,Id,code,name,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_MW
2026-06-01,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-01,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-01,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-01,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-01,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-01,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-01,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-01,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-01,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-01,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
2026-06-02,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-02,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-02,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-02,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-02,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-02,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-02,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-02,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-02,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-02,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
2026-06-03,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-03,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-03,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-03,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-03,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-03,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-03,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-03,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-03,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-03,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
2026-06-04,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-04,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-04,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-04,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-04,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-04,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-04,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-04,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-04,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-04,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
2026-06-05,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-05,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-05,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-05,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-05,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-05,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-05,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-05,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-05,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-05,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
2026-06-06,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-06,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-06,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-06,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-06,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-06,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-06,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-06,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-06,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-06,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
2026-06-07,Recurso,HMIN,,55000.0,kW,kW,False,,55.0
2026-06-07,Recurso,HMLG,,396000.0,kW,kW,False,,396.0
2026-06-07,Recurso,JAGS,,170000.0,kW,kW,False,,170.0
2026-06-07,Recurso,LTSJ,,306000.0,kW,kW,False,,306.0
2026-06-07,Recurso,MOY1,,80000.0,kW,kW,False,,80.0
2026-06-07,Recurso,MRL1,,164000.0,kW,kW,False,,164.0
2026-06-07,Recurso,PES1,,1200000.0,kW,kW,False,,1200.0
2026-06-07,Recurso,PGUG,,600000.0,kW,kW,False,,600.0
2026-06-07,Recurso,PLYS,,207000.0,kW,kW,False,,207.0
2026-06-07,Recurso,PPA1,,36000.0,kW,kW,False,,36.0
