Date,Id,code,name,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Embalse,ITUANGO,ITUANGO,63254400.0,kWh,kWh,False,,63.2544
2026-06-01,Embalse,MIRAFLORES,MIRAFLORES,456541040.0,kWh,kWh,False,,456.54103999999995
2026-06-01,Embalse,MUNA,MUNA,54905490.0,kWh,kWh,False,,54.90549
2026-06-01,Embalse,PENOL,PENOL,4138288344.0,kWh,kWh,False,,4138.288344
2026-06-01,Embalse,PLAYAS,PLAYAS,95084402.0,kWh,kWh,False,,95.084402
2026-06-01,Embalse,PORCE II,PORCE II,124027896.0,kWh,kWh,False,,124.027896
2026-06-01,Embalse,PORCE III,PORCE III,111976402.0,kWh,kWh,False,,111.976402
2026-06-01,Embalse,PRADO,PRADO,90058353.0,kWh,kWh,False,,90.058353
2026-06-01,Embalse,PUNCHINA,PUNCHINA,65869664.0,kWh,kWh,False,,65.869664
2026-06-01,Embalse,RIOGRANDE2,RIOGRANDE2,543461380.0,kWh,kWh,False,,543.46138
2026-06-02,Embalse,ITUANGO,ITUANGO,63254400.0,kWh,kWh,False,,63.2544
2026-06-02,Embalse,MIRAFLORES,MIRAFLORES,456541040.0,kWh,kWh,False,,456.54103999999995
2026-06-02,Embalse,MUNA,MUNA,54905490.0,kWh,kWh,False,,54.90549
2026-06-02,Embalse,PENOL,PENOL,4138288344.0,kWh,kWh,False,,4138.288344
2026-06-02,Embalse,PLAYAS,PLAYAS,95084402.0,kWh,kWh,False,,95.084402
2026-06-02,Embalse,PORCE II,PORCE II,124027896.0,kWh,kWh,False,,124.027896
2026-06-02,Embalse,PORCE III,PORCE III,111976402.0,kWh,kWh,False,,111.976402
2026-06-02,Embalse,PRADO,PRADO,90058353.0,kWh,kWh,False,,90.058353
2026-06-02,Embalse,PUNCHINA,PUNCHINA,65869664.0,kWh,kWh,False,,65.869664
2026-06-02,Embalse,RIOGRANDE2,RIOGRANDE2,543461380.0,kWh,kWh,False,,543.46138
2026-06-03,Embalse,ITUANGO,ITUANGO,63254400.0,kWh,kWh,False,,63.2544
2026-06-03,Embalse,MIRAFLORES,MIRAFLORES,456541040.0,kWh,kWh,False,,456.54103999999995
2026-06-03,Embalse,MUNA,MUNA,54905490.0,kWh,kWh,False,,54.90549
2026-06-03,Embalse,PENOL,PENOL,4138288344.0,kWh,kWh,False,,4138.288344
2026-06-03,Embalse,PLAYAS,PLAYAS,95084402.0,kWh,kWh,False,,95.084402
2026-06-03,Embalse,PORCE II,PORCE II,124027896.0,kWh,kWh,False,,124.027896
2026-06-03,Embalse,PORCE III,PORCE III,111976402.0,kWh,kWh,False,,111.976402
2026-06-03,Embalse,PRADO,PRADO,90058353.0,kWh,kWh,False,,90.058353
2026-06-03,Embalse,PUNCHINA,PUNCHINA,65869664.0,kWh,kWh,False,,65.869664
2026-06-03,Embalse,RIOGRANDE2,RIOGRANDE2,543461380.0,kWh,kWh,False,,543.46138
2026-06-04,Embalse,ITUANGO,ITUANGO,63254400.0,kWh,kWh,False,,63.2544
2026-06-04,Embalse,MIRAFLORES,MIRAFLORES,456541040.0,kWh,kWh,False,,456.54103999999995
2026-06-04,Embalse,MUNA,MUNA,54905490.0,kWh,kWh,False,,54.90549
2026-06-04,Embalse,PENOL,PENOL,4138288344.0,kWh,kWh,False,,4138.288344
2026-06-04,Embalse,PLAYAS,PLAYAS,95084402.0,kWh,kWh,False,,95.084402
2026-06-04,Embalse,PORCE II,PORCE II,124027896.0,kWh,kWh,False,,124.027896
2026-06-04,Embalse,PORCE III,PORCE III,111976402.0,kWh,kWh,False,,111.976402
2026-06-04,Embalse,PRADO,PRADO,90058353.0,kWh,kWh,False,,90.058353
2026-06-04,Embalse,PUNCHINA,PUNCHINA,65869664.0,kWh,kWh,False,,65.869664
2026-06-04,Embalse,RIOGRANDE2,RIOGRANDE2,543461380.0,kWh,kWh,False,,543.46138
