Date,Id,code,name,Hour,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_MW
2026-06-01,Recurso,ZPA4,,Hour01,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour02,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour03,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour04,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour05,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour06,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour07,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour08,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour09,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour10,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour11,64000.0,kW,kW,False,,64.0
2026-06-01,Recurso,ZPA4,,Hour12,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour13,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour14,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour15,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour16,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour17,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour18,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour19,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour20,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour21,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour22,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour23,,kW,kW,False,,
2026-06-01,Recurso,ZPA4,,Hour24,,kW,kW,False,,
2026-06-01,Recurso,ZPA5,,Hour01,63000.0,kW,kW,False,,63.0
2026-06-01,Recurso,ZPA5,,Hour02,63000.0,kW,kW,False,,63.0
2026-06-01,Recurso,ZPA5,,Hour03,63000.0,kW,kW,False,,63.0
2026-06-01,Recurso,ZPA5,,Hour04,63000.0,kW,kW,False,,63.0
2026-06-01,Recurso,ZPA5,,Hour05,63000.0,kW,kW,False,,63.0
2026-06-01,Recurso,ZPA5,,Hour06,63000.0,kW,kW,False,,63.0
