Date,Id,code,name,Hour,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour02,2322.46,kWh,kWh,False,,0.0023224599999999997
2026-06-01,Sistema,Sistema,,Hour03,709.68,kWh,kWh,False,,0.00070968
2026-06-01,Sistema,Sistema,,Hour04,1929.03,kWh,kWh,False,,0.00192903
2026-06-01,Sistema,Sistema,,Hour05,829.56,kWh,kWh,False,,0.0008295599999999999
2026-06-01,Sistema,Sistema,,Hour06,1931.3,kWh,kWh,False,,0.0019313
2026-06-01,Sistema,Sistema,,Hour07,1560.42,kWh,kWh,False,,0.00156042
2026-06-01,Sistema,Sistema,,Hour08,1120.69,kWh,kWh,False,,0.00112069
2026-06-01,Sistema,Sistema,,Hour09,2286.93,kWh,kWh,False,,0.0022869299999999995
2026-06-01,Sistema,Sistema,,Hour10,531.63,kWh,kWh,False,,0.00053163
2026-06-01,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour12,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour13,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour14,2202.53,kWh,kWh,False,,0.0022025300000000003
2026-06-01,Sistema,Sistema,,Hour15,440.75,kWh,kWh,False,,0.00044075
2026-06-01,Sistema,Sistema,,Hour16,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour17,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour18,980.61,kWh,kWh,False,,0.00098061
2026-06-01,Sistema,Sistema,,Hour19,3476.53,kWh,kWh,False,,0.0034765300000000002
2026-06-01,Sistema,Sistema,,Hour20,1086.56,kWh,kWh,False,,0.0010865599999999999
2026-06-01,Sistema,Sistema,,Hour21,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour22,2455.41,kWh,kWh,False,,0.00245541
2026-06-01,Sistema,Sistema,,Hour23,1208.41,kWh,kWh,False,,0.00120841
2026-06-01,Sistema,Sistema,,Hour24,1459.09,kWh,kWh,False,,0.00145909
2026-06-02,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour02,65.71,kWh,kWh,False,,6.570999999999999e-05
2026-06-02,Sistema,Sistema,,Hour03,523.41,kWh,kWh,False,,0.00052341
2026-06-02,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
