Date,Id,code,name,Hour,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Sistema,Sistema,,Hour01,8982039.46,kWh,kWh,False,,8.982039460000001
2026-06-01,Sistema,Sistema,,Hour02,8716765.79,kWh,kWh,False,,8.716765789999998
2026-06-01,Sistema,Sistema,,Hour03,8511808.79,kWh,kWh,False,,8.511808789999998
2026-06-01,Sistema,Sistema,,Hour04,8411814.76,kWh,kWh,False,,8.411814759999999
2026-06-01,Sistema,Sistema,,Hour05,8599011.3,kWh,kWh,False,,8.5990113
2026-06-01,Sistema,Sistema,,Hour06,8980506.31,kWh,kWh,False,,8.98050631
2026-06-01,Sistema,Sistema,,Hour07,9193044.26,kWh,kWh,False,,9.193044259999999
2026-06-01,Sistema,Sistema,,Hour08,9663042.09,kWh,kWh,False,,9.66304209
2026-06-01,Sistema,Sistema,,Hour09,10234367.38,kWh,kWh,False,,10.23436738
2026-06-01,Sistema,Sistema,,Hour10,10546261.19,kWh,kWh,False,,10.54626119
2026-06-01,Sistema,Sistema,,Hour11,10886331.07,kWh,kWh,False,,10.88633107
2026-06-01,Sistema,Sistema,,Hour12,11287147.82,kWh,kWh,False,,11.28714782
2026-06-01,Sistema,Sistema,,Hour13,11353669.59,kWh,kWh,False,,11.353669589999999
2026-06-01,Sistema,Sistema,,Hour14,11535522.7,kWh,kWh,False,,11.5355227
2026-06-01,Sistema,Sistema,,Hour15,11740883.56,kWh,kWh,False,,11.74088356
2026-06-01,Sistema,Sistema,,Hour16,11854053.34,kWh,kWh,False,,11.85405334
2026-06-01,Sistema,Sistema,,Hour17,11770681.32,kWh,kWh,False,,11.77068132
2026-06-01,Sistema,Sistema,,Hour18,11594000.27,kWh,kWh,False,,11.594000269999999
2026-06-01,Sistema,Sistema,,Hour19,12122427.96,kWh,kWh,False,,12.12242796
2026-06-01,Sistema,Sistema,,Hour20,12353903.59,kWh,kWh,False,,12.35390359
2026-06-01,Sistema,Sistema,,Hour21,12095931.11,kWh,kWh,False,,12.095931109999999
2026-06-01,Sistema,Sistema,,Hour22,11544773.1,kWh,kWh,False,,11.544773099999999
2026-06-01,Sistema,Sistema,,Hour23,10817395.54,kWh,kWh,False,,10.817395539999998
2026-06-01,Sistema,Sistema,,Hour24,10183191.63,kWh,kWh,False,,10.18319163
2026-06-02,Sistema,Sistema,,Hour01,9705555.07,kWh,kWh,False,,9.705555069999999
2026-06-02,Sistema,Sistema,,Hour02,9397572.05,kWh,kWh,False,,9.39757205
2026-06-02,Sistema,Sistema,,Hour03,9162686.16,kWh,kWh,False,,9.16268616
2026-06-02,Sistema,Sistema,,Hour04,9016296.48,kWh,kWh,False,,9.01629648
2026-06-02,Sistema,Sistema,,Hour05,9141798.34,kWh,kWh,False,,9.14179834
2026-06-02,Sistema,Sistema,,Hour06,9508370.91,kWh,kWh,False,,9.50837091
2026-06-02,Sistema,Sistema,,Hour07,9574612.25,kWh,kWh,False,,9.57461225
2026-06-02,Sistema,Sistema,,Hour08,9978827.7,kWh,kWh,False,,9.978827699999998
2026-06-02,Sistema,Sistema,,Hour09,10333464.83,kWh,kWh,False,,10.33346483
2026-06-02,Sistema,Sistema,,Hour10,10611897.5,kWh,kWh,False,,10.6118975
2026-06-02,Sistema,Sistema,,Hour11,10994259.98,kWh,kWh,False,,10.99425998
2026-06-02,Sistema,Sistema,,Hour12,11323845.26,kWh,kWh,False,,11.323845259999999
2026-06-02,Sistema,Sistema,,Hour13,11323085.56,kWh,kWh,False,,11.32308556
2026-06-02,Sistema,Sistema,,Hour14,11580895.86,kWh,kWh,False,,11.580895859999998
2026-06-02,Sistema,Sistema,,Hour15,11838760.24,kWh,kWh,False,,11.83876024
2026-06-02,Sistema,Sistema,,Hour16,11907460.3,kWh,kWh,False,,11.9074603
2026-06-02,Sistema,Sistema,,Hour17,11749039.94,kWh,kWh,False,,11.74903994
2026-06-02,Sistema,Sistema,,Hour18,11514203.84,kWh,kWh,False,,11.514203839999999
2026-06-02,Sistema,Sistema,,Hour19,12019414.79,kWh,kWh,False,,12.019414789999999
2026-06-02,Sistema,Sistema,,Hour20,12261330.84,kWh,kWh,False,,12.26133084
2026-06-02,Sistema,Sistema,,Hour21,12004307.76,kWh,kWh,False,,12.00430776
2026-06-02,Sistema,Sistema,,Hour22,11477505.95,kWh,kWh,False,,11.47750595
2026-06-02,Sistema,Sistema,,Hour23,10764571.2,kWh,kWh,False,,10.764571199999999
2026-06-02,Sistema,Sistema,,Hour24,10157913.08,kWh,kWh,False,,10.15791308
2026-06-03,Sistema,Sistema,,Hour01,9683554.58,kWh,kWh,False,,9.68355458
2026-06-03,Sistema,Sistema,,Hour02,9365858.63,kWh,kWh,False,,9.36585863
2026-06-03,Sistema,Sistema,,Hour03,9086367.69,kWh,kWh,False,,9.08636769
2026-06-03,Sistema,Sistema,,Hour04,8889388.27,kWh,kWh,False,,8.88938827
2026-06-03,Sistema,Sistema,,Hour05,9005478.93,kWh,kWh,False,,9.005478929999999
2026-06-03,Sistema,Sistema,,Hour06,9394684.13,kWh,kWh,False,,9.39468413
2026-06-03,Sistema,Sistema,,Hour07,9479554.06,kWh,kWh,False,,9.47955406
2026-06-03,Sistema,Sistema,,Hour08,9841119.41,kWh,kWh,False,,9.84111941
2026-06-03,Sistema,Sistema,,Hour09,10344606.38,kWh,kWh,False,,10.34460638
2026-06-03,Sistema,Sistema,,Hour10,10607737.06,kWh,kWh,False,,10.60773706
2026-06-03,Sistema,Sistema,,Hour11,10921044.6,kWh,kWh,False,,10.921044599999998
2026-06-03,Sistema,Sistema,,Hour12,11214927.93,kWh,kWh,False,,11.21492793
2026-06-03,Sistema,Sistema,,Hour13,11145954.3,kWh,kWh,False,,11.1459543
2026-06-03,Sistema,Sistema,,Hour14,11362083.1,kWh,kWh,False,,11.3620831
2026-06-03,Sistema,Sistema,,Hour15,11621175.18,kWh,kWh,False,,11.62117518
2026-06-03,Sistema,Sistema,,Hour16,11639592.81,kWh,kWh,False,,11.63959281
2026-06-03,Sistema,Sistema,,Hour17,11484602.93,kWh,kWh,False,,11.48460293
2026-06-03,Sistema,Sistema,,Hour18,11266985.9,kWh,kWh,False,,11.2669859
2026-06-03,Sistema,Sistema,,Hour19,11834942.94,kWh,kWh,False,,11.83494294
