Date,Id,code,name,Hour,Value,unit_catalog,unit_effective,unit_override_applied,override_reason,Value_GWh
2026-06-01,Sistema,Sistema,,Hour01,866.56,kWh,kWh,False,,0.0008665599999999999
2026-06-01,Sistema,Sistema,,Hour02,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour05,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour07,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour10,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour11,259.34,kWh,kWh,False,,0.00025933999999999994
2026-06-01,Sistema,Sistema,,Hour12,259.9,kWh,kWh,False,,0.0002599
2026-06-01,Sistema,Sistema,,Hour13,1094.41,kWh,kWh,False,,0.00109441
2026-06-01,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour15,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour16,1137.55,kWh,kWh,False,,0.00113755
2026-06-01,Sistema,Sistema,,Hour17,596.07,kWh,kWh,False,,0.00059607
2026-06-01,Sistema,Sistema,,Hour18,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour19,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour20,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour21,708.23,kWh,kWh,False,,0.00070823
2026-06-01,Sistema,Sistema,,Hour22,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour23,,kWh,kWh,False,,
2026-06-01,Sistema,Sistema,,Hour24,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour01,755.41,kWh,kWh,False,,0.00075541
2026-06-02,Sistema,Sistema,,Hour02,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour04,22.31,kWh,kWh,False,,2.2309999999999998e-05
2026-06-02,Sistema,Sistema,,Hour05,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour07,652.97,kWh,kWh,False,,0.00065297
2026-06-02,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour10,2239.41,kWh,kWh,False,,0.00223941
2026-06-02,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour12,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour13,904.17,kWh,kWh,False,,0.0009041699999999999
2026-06-02,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour15,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour16,1873.53,kWh,kWh,False,,0.00187353
2026-06-02,Sistema,Sistema,,Hour17,1054.94,kWh,kWh,False,,0.00105494
2026-06-02,Sistema,Sistema,,Hour18,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour19,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour20,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour21,,kWh,kWh,False,,
2026-06-02,Sistema,Sistema,,Hour22,1045.83,kWh,kWh,False,,0.00104583
2026-06-02,Sistema,Sistema,,Hour23,1421.64,kWh,kWh,False,,0.00142164
2026-06-02,Sistema,Sistema,,Hour24,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour02,129.99,kWh,kWh,False,,0.00012999
2026-06-03,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour05,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour07,4711.21,kWh,kWh,False,,0.0047112099999999995
2026-06-03,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour10,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour12,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour13,3321.89,kWh,kWh,False,,0.0033218899999999997
2026-06-03,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour15,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour16,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour17,1250.7,kWh,kWh,False,,0.0012507
2026-06-03,Sistema,Sistema,,Hour18,241.49,kWh,kWh,False,,0.00024149
2026-06-03,Sistema,Sistema,,Hour19,455.92,kWh,kWh,False,,0.00045592
2026-06-03,Sistema,Sistema,,Hour20,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour21,,kWh,kWh,False,,
2026-06-03,Sistema,Sistema,,Hour22,2824.6,kWh,kWh,False,,0.0028245999999999996
2026-06-03,Sistema,Sistema,,Hour23,2001.65,kWh,kWh,False,,0.00200165
2026-06-03,Sistema,Sistema,,Hour24,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour02,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour05,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour07,3128.94,kWh,kWh,False,,0.0031289399999999998
2026-06-04,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour10,2604.02,kWh,kWh,False,,0.00260402
2026-06-04,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour12,132.11,kWh,kWh,False,,0.00013211
2026-06-04,Sistema,Sistema,,Hour13,1166.43,kWh,kWh,False,,0.00116643
2026-06-04,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour15,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour16,19.58,kWh,kWh,False,,1.958e-05
2026-06-04,Sistema,Sistema,,Hour17,110.84,kWh,kWh,False,,0.00011084
2026-06-04,Sistema,Sistema,,Hour18,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour19,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour20,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour21,1194.86,kWh,kWh,False,,0.0011948599999999998
2026-06-04,Sistema,Sistema,,Hour22,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour23,,kWh,kWh,False,,
2026-06-04,Sistema,Sistema,,Hour24,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour02,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour05,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour07,2153.23,kWh,kWh,False,,0.00215323
2026-06-05,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour10,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour12,1371.88,kWh,kWh,False,,0.00137188
2026-06-05,Sistema,Sistema,,Hour13,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour15,1961.35,kWh,kWh,False,,0.0019613499999999997
2026-06-05,Sistema,Sistema,,Hour16,1154.27,kWh,kWh,False,,0.00115427
2026-06-05,Sistema,Sistema,,Hour17,698.75,kWh,kWh,False,,0.0006987499999999999
2026-06-05,Sistema,Sistema,,Hour18,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour19,83.25,kWh,kWh,False,,8.324999999999999e-05
2026-06-05,Sistema,Sistema,,Hour20,103.1,kWh,kWh,False,,0.00010309999999999999
2026-06-05,Sistema,Sistema,,Hour21,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour22,642.08,kWh,kWh,False,,0.0006420800000000001
2026-06-05,Sistema,Sistema,,Hour23,,kWh,kWh,False,,
2026-06-05,Sistema,Sistema,,Hour24,1504.03,kWh,kWh,False,,0.00150403
2026-06-06,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour02,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour05,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour07,36.14,kWh,kWh,False,,3.6139999999999996e-05
2026-06-06,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour10,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour12,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour13,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour15,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour16,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour17,2169.89,kWh,kWh,False,,0.00216989
2026-06-06,Sistema,Sistema,,Hour18,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour19,,kWh,kWh,False,,
2026-06-06,Sistema,Sistema,,Hour20,1037.3,kWh,kWh,False,,0.0010373
2026-06-06,Sistema,Sistema,,Hour21,906.27,kWh,kWh,False,,0.0009062699999999999
2026-06-06,Sistema,Sistema,,Hour22,8.52,kWh,kWh,False,,8.52e-06
2026-06-06,Sistema,Sistema,,Hour23,730.07,kWh,kWh,False,,0.00073007
2026-06-06,Sistema,Sistema,,Hour24,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour01,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour02,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour03,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour04,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour05,542.15,kWh,kWh,False,,0.0005421499999999999
2026-06-07,Sistema,Sistema,,Hour06,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour07,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour08,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour09,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour10,411.75,kWh,kWh,False,,0.00041175
2026-06-07,Sistema,Sistema,,Hour11,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour12,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour13,,kWh,kWh,False,,
2026-06-07,Sistema,Sistema,,Hour14,,kWh,kWh,False,,
