source,relative_path,classification,available,size_bytes,modified,priority,potential_use
sddp_previous,.aider.chat.history.md,cache,True,45682,2026-07-05T10:46:51,False,referencia/no prioritario
sddp_previous,.aider.input.history,cache,True,11528,2026-07-05T10:46:51,False,referencia/no prioritario
sddp_previous,.gitignore,cache,True,4934,2026-07-09T11:02:39,False,referencia/no prioritario
sddp_previous,CLAUDE.md,documentacion,True,2996,2026-06-18T07:20:20,False,referencia/no prioritario
sddp_previous,MCP_SDDP_MinEnergia_v1.zip,no relevante,True,17072,2026-07-13T13:52:46,False,referencia/no prioritario
sddp_previous,package-lock.json,documentacion,True,6788,2026-06-03T11:39:36,False,referencia/no prioritario
sddp_previous,package.json,documentacion,True,679,2026-06-03T11:39:36,False,referencia/no prioritario
sddp_previous,pytest.ini,no relevante,True,137,2026-07-13T20:21:36,False,referencia/no prioritario
sddp_previous,README.md,documentacion,True,116,2026-06-03T10:42:39,True,auditoria
sddp_previous,requirements.txt,documentacion,True,4520,2026-06-03T10:45:00,False,referencia/no prioritario
sddp_previous,.aider.tags.cache.v4/cache.db,no relevante,True,475136,2026-07-05T10:26:46,False,referencia/no prioritario
sddp_previous,.aider.tags.cache.v4/6e/31/8c4b4dd1bc6b895dd1cd416d0d18.val,no relevante,True,33970,2026-07-05T10:16:53,False,referencia/no prioritario
sddp_previous,.aider.tags.cache.v4/b9/17/396327c34bebd2dead107d2449ef.val,no relevante,True,34310,2026-07-05T10:16:53,False,referencia/no prioritario
sddp_previous,assets/logo_energia.png,no relevante,True,6017,2026-06-03T11:44:19,False,referencia/no prioritario
sddp_previous,assets/logo_minergia.svg,no relevante,True,113317,2026-06-03T11:43:04,False,referencia/no prioritario
sddp_previous,config/dispatch_hidrotermico.json,documentacion,True,217,2026-07-13T20:21:36,False,referencia/no prioritario
sddp_previous,data/aportes_2010_2026.csv,fuente procesada,True,310578,2026-06-03T13:08:50,True,auditoria
sddp_previous,data/costo_total_nino.npy,fuente procesada,True,80128,2026-06-03T13:08:50,False,referencia/no prioritario
sddp_previous,data/costo_total_normal.npy,fuente procesada,True,80128,2026-06-03T13:08:50,False,referencia/no prioritario
sddp_previous,data/embalses_historico.csv,fuente procesada,True,2,2026-06-03T10:51:34,True,auditoria
sddp_previous,data/generacion_2023_2026.csv,fuente procesada,True,200787,2026-06-03T13:08:50,True,auditoria
sddp_previous,data/listado_plantas.csv,fuente procesada,True,295973,2026-06-03T13:08:50,True,auditoria
sddp_previous,data/precio_bolsa_2010_2026.csv,fuente procesada,True,1678253,2026-06-03T13:08:50,True,auditoria
sddp_previous,data/precio_escasez_historical.csv,fuente procesada,True,180095,2026-07-05T11:19:02,False,referencia/no prioritario
sddp_previous,data/precio_oferta_historical.csv,fuente procesada,True,69253820,2026-07-05T11:18:26,True,auditoria
sddp_previous,data/resultados_lambda.csv,fuente procesada,True,333,2026-06-03T13:08:50,False,referencia/no prioritario
sddp_previous,data/sim_nino.npy,fuente procesada,True,480128,2026-06-03T13:08:50,True,auditoria
sddp_previous,data/sim_normal.npy,fuente procesada,True,480128,2026-06-03T13:08:50,True,auditoria
sddp_previous,docs/dispatch_hidrotermico.md,documentacion,True,3084,2026-07-13T20:21:36,True,auditoria
sddp_previous,docs/index.html,no relevante,True,22557,2026-06-03T14:10:02,False,referencia/no prioritario
sddp_previous,docs/sddp_v16/index.html,no relevante,True,32425,2026-07-05T17:55:09,False,referencia/no prioritario
sddp_previous,docs/sddp_v16/resultados_dashboard_v12.json,documentacion,True,620820,2026-07-05T17:47:50,False,referencia/no prioritario
sddp_previous,legacy/README.md,documentacion,True,1044,2026-07-13T20:21:36,False,referencia/no prioritario
sddp_previous,mcp_proposals/inventario_repositorio_inicial.csv,fuente procesada,True,21701,2026-07-13T20:15:54,False,referencia/no prioritario
sddp_previous,mcp_proposals/inventario_repositorio_inicial.md,documentacion,True,30541,2026-07-13T20:15:54,False,referencia/no prioritario
sddp_previous,mcp_proposals/inventario_repositorio_inicial_referencias.json,documentacion,True,32834,2026-07-13T20:15:54,False,referencia/no prioritario
sddp_previous,mcp_proposals/plan_reorganizacion_hidrotermica.md,documentacion,True,880,2026-07-13T20:21:36,False,referencia/no prioritario
sddp_previous,notebooks/01_exploracion_datos.ipynb,codigo,True,781175,2026-06-03T13:08:51,False,referencia/no prioritario
sddp_previous,notebooks/guion_embalses.ipynb,codigo,True,20096,2026-06-18T08:11:23,False,referencia/no prioritario
sddp_previous,outputs/aportes_enos.png,output de modelo,True,219771,2026-06-03T12:59:45,False,referencia/no prioritario
sddp_previous,outputs/distribucion_nino_vs_normal.png,output de modelo,True,90462,2026-06-03T12:59:50,False,referencia/no prioritario
sddp_previous,outputs/estado_actual_aportes.png,output de modelo,True,144816,2026-06-03T13:00:01,False,referencia/no prioritario
sddp_previous,outputs/funcion_objetivo_lambda.png,output de modelo,True,138558,2026-06-03T13:08:29,False,referencia/no prioritario
sddp_previous,outputs/hidro_vs_termo_enos.png,output de modelo,True,222286,2026-06-03T13:05:08,False,referencia/no prioritario
sddp_previous,outputs/MinEnergia_Avance_Datos.pptx,output de modelo,True,573452,2026-07-09T11:35:53,False,referencia/no prioritario
sddp_previous,outputs/MinEnergia_Avance_Datos_v2.pptx,output de modelo,True,1027207,2026-07-09T11:35:54,False,referencia/no prioritario
sddp_previous,outputs/montecarlo_trayectorias.png,output de modelo,True,97805,2026-06-03T12:59:54,False,referencia/no prioritario
sddp_previous,outputs/Nota_Metodologica_01_exploracion_datos.md,documentacion,True,5668,2026-07-02T10:45:06,False,referencia/no prioritario
sddp_previous,outputs/riesgo_cvar.png,output de modelo,True,114974,2026-06-03T12:59:57,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/decisiones_termicas.csv,output de modelo,True,5249,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/diagnostico_datos.md,documentacion,True,3723,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/explicacion_decisiones.md,documentacion,True,3948,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/limitaciones.md,documentacion,True,832,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/recursos_termicos_priorizados.csv,output de modelo,True,4836,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/resultados_despacho.csv,output de modelo,True,6423,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/resumen_riesgo.json,documentacion,True,2291,2026-07-13T20:24:19,False,referencia/no prioritario
