call_id,target,metric_id,entity,periodicity,url,start_date,end_date,filter_values,filter_count,output_dir,unit,granularity,timezone
demanda_sin_diaria__2023-01-01__2023-01-30__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-01-01,2023-01-30,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-01-31__2023-03-01__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-01-31,2023-03-01,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-03-02__2023-03-31__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-03-02,2023-03-31,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-04-01__2023-04-30__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-04-01,2023-04-30,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-05-01__2023-05-30__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-05-01,2023-05-30,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-05-31__2023-06-29__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-05-31,2023-06-29,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-06-30__2023-07-29__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-06-30,2023-07-29,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-07-30__2023-08-28__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-07-30,2023-08-28,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-08-29__2023-09-27__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-08-29,2023-09-27,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-09-28__2023-10-27__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-09-28,2023-10-27,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-10-28__2023-11-26__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-10-28,2023-11-26,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-11-27__2023-12-26__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-11-27,2023-12-26,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2023-12-27__2024-01-25__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2023-12-27,2024-01-25,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-01-26__2024-02-24__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-01-26,2024-02-24,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-02-25__2024-03-25__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-02-25,2024-03-25,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-03-26__2024-04-24__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-03-26,2024-04-24,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-04-25__2024-05-24__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-04-25,2024-05-24,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-05-25__2024-06-23__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-05-25,2024-06-23,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-06-24__2024-07-23__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-06-24,2024-07-23,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
demanda_sin_diaria__2024-07-24__2024-08-22__b001,demanda_sin_diaria,DemaSIN,Sistema,DailyEntities,https://servapibi.xm.com.co/daily,2024-07-24,2024-08-22,[],0,data/raw/xm/demanda/demanda_sin_diaria,kWh,diaria,America/Bogota; confirmar contra respuesta XM
