call_id,target,metric_id,entity,start_date,end_date,error
demanda_sin_diaria__2026-06-01__2026-06-07__b001,demanda_sin_diaria,DemaSIN,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
demanda_real_sistema_horaria__2026-06-01__2026-06-07__b001,demanda_real_sistema_horaria,DemaReal,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
generacion_real_por_recurso__2026-06-01__2026-06-07__b001,generacion_real_por_recurso,Gene,Recurso,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
generacion_real_total__2026-06-01__2026-06-07__b001,generacion_real_total,Gene,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001,capacidad_efectiva_neta_recurso,CapEfecNeta,Recurso,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
disponibilidad_real_recurso__2026-06-01__2026-06-07__b001,disponibilidad_real_recurso,DispoReal,Recurso,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001,disponibilidad_comercial_recurso,DispoCome,Recurso,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001,disponibilidad_declarada_recurso,DispoDeclarada,Recurso,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
volumen_util_energia_sin__2026-06-01__2026-06-07__b001,volumen_util_energia_sin,VoluUtilDiarEner,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
volumen_util_energia_embalse__2026-06-01__2026-06-07__b001,volumen_util_energia_embalse,VoluUtilDiarEner,Embalse,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
capacidad_util_energia_sin__2026-06-01__2026-06-07__b001,capacidad_util_energia_sin,CapaUtilDiarEner,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001,capacidad_util_energia_embalse,CapaUtilDiarEner,Embalse,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
aportes_energia_sin__2026-06-01__2026-06-07__b001,aportes_energia_sin,AporEner,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
aportes_energia_rio__2026-06-01__2026-06-07__b001,aportes_energia_rio,AporEner,Rio,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
importaciones_energia_sistema__2026-06-01__2026-06-07__b001,importaciones_energia_sistema,ImpoEner,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
exportaciones_energia_sistema__2026-06-01__2026-06-07__b001,exportaciones_energia_sistema,ExpoEner,Sistema,2026-06-01,2026-06-07,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
