call_id,MetricId,entity,target,requested_entities,start_date,end_date,http_status,duration_seconds,records,saved_path,sha256,attempt,error
demanda_sin_diaria__2026-06-01__2026-06-07__b001,DemaSIN,Sistema,demanda_sin_diaria,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
demanda_real_sistema_horaria__2026-06-01__2026-06-07__b001,DemaReal,Sistema,demanda_real_sistema_horaria,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
generacion_real_por_recurso__2026-06-01__2026-06-07__b001,Gene,Recurso,generacion_real_por_recurso,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
generacion_real_total__2026-06-01__2026-06-07__b001,Gene,Sistema,generacion_real_total,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001,CapEfecNeta,Recurso,capacidad_efectiva_neta_recurso,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
disponibilidad_real_recurso__2026-06-01__2026-06-07__b001,DispoReal,Recurso,disponibilidad_real_recurso,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001,DispoCome,Recurso,disponibilidad_comercial_recurso,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001,DispoDeclarada,Recurso,disponibilidad_declarada_recurso,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
volumen_util_energia_sin__2026-06-01__2026-06-07__b001,VoluUtilDiarEner,Sistema,volumen_util_energia_sin,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
volumen_util_energia_embalse__2026-06-01__2026-06-07__b001,VoluUtilDiarEner,Embalse,volumen_util_energia_embalse,"[""AGREGADO BOGOTA"", ""ALTOANCHICAYA"", ""AMANI"", ""BETANIA"", ""CALIMA1"", ""CHUZA"", ""EL QUIMBO"", ""ESMERALDA"", ""FLORIDA II"", ""GUAVIO""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
capacidad_util_energia_sin__2026-06-01__2026-06-07__b001,CapaUtilDiarEner,Sistema,capacidad_util_energia_sin,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001,CapaUtilDiarEner,Embalse,capacidad_util_energia_embalse,"[""AGREGADO BOGOTA"", ""ALTOANCHICAYA"", ""AMANI"", ""BETANIA"", ""CALIMA1"", ""CHUZA"", ""EL QUIMBO"", ""ESMERALDA"", ""FLORIDA II"", ""GUAVIO""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
aportes_energia_sin__2026-06-01__2026-06-07__b001,AporEner,Sistema,aportes_energia_sin,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
aportes_energia_rio__2026-06-01__2026-06-07__b001,AporEner,Rio,aportes_energia_rio,"[""A. SAN LORENZO"", ""ALTOANCHICAYA"", ""AMOYA"", ""BATA"", ""BETANIA CP"", ""BLANCO"", ""BOGOTA N.R."", ""CALIMA"", ""CAMPOALEGRE"", ""CARLOS LLERAS""]",2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
importaciones_energia_sistema__2026-06-01__2026-06-07__b001,ImpoEner,Sistema,importaciones_energia_sistema,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
exportaciones_energia_sistema__2026-06-01__2026-06-07__b001,ExpoEner,Sistema,exportaciones_energia_sistema,[],2026-06-01,2026-06-07,ERROR_PREVIOUS_NETWORK_BLOCK,0,0,,,0,Fallo consulta XM despues de 3 intentos: <urlopen error [WinError 10013] Intento de acceso a un socket no permitido por sus permisos de acceso>
