target,call_id,v1_path,v2_path,v1_exists,v1_records,v2_records,v1_derived_columns,v2_derived_columns,value_preserved,metadata_added
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,63,63,"[""Value_GWh""]","[""Value_GWh""]",True,True
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b002__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b002__normalized_v2.csv,True,63,63,"[""Value_GWh""]","[""Value_GWh""]",True,True
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b003__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b003__normalized_v2.csv,True,70,70,"[""Value_GWh""]","[""Value_GWh""]",True,True
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b004__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b004__normalized_v2.csv,True,63,63,"[""Value_GWh""]","[""Value_GWh""]",True,True
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b005__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b005__normalized_v2.csv,True,28,28,"[""Value_GWh""]","[""Value_GWh""]",True,True
aportes_energia_sin,aportes_energia_sin__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_sin\aportes_energia_sin__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_sin\aportes_energia_sin__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,7,7,"[""Value_GWh""]","[""Value_GWh""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,63,63,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b002__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b002__normalized_v2.csv,True,70,70,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b003__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b003__normalized_v2.csv,True,70,70,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b004__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b004__normalized_v2.csv,True,70,70,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b005__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b005__normalized_v2.csv,True,70,70,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b006,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b006__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b006__normalized_v2.csv,True,70,70,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b007,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b007__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b007__normalized_v2.csv,True,70,70,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b008,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b008__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b008__normalized_v2.csv,True,14,14,"[""Value_MW""]","[""Value_MW""]",True,True
capacidad_util_energia_embalse,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,63,63,"[""Value_GWh""]","[""Value_GWh""]",True,True
capacidad_util_energia_embalse,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b002__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b002__normalized_v2.csv,True,70,70,"[""Value_GWh""]","[""Value_GWh""]",True,True
capacidad_util_energia_embalse,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b003__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b003__normalized_v2.csv,True,35,35,"[""Value_GWh""]","[""Value_GWh""]",True,True
capacidad_util_energia_sin,capacidad_util_energia_sin__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_util_energia_sin\capacidad_util_energia_sin__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_util_energia_sin\capacidad_util_energia_sin__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,7,7,"[""Value_GWh""]","[""Value_GWh""]",True,True
demanda_real_sistema_horaria,demanda_real_sistema_horaria__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\demanda_real_sistema_horaria\demanda_real_sistema_horaria__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\demanda_real_sistema_horaria\demanda_real_sistema_horaria__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,168,168,"[""Value_GWh""]","[""Value_GWh""]",True,True
demanda_sin_diaria,demanda_sin_diaria__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\demanda_sin_diaria\demanda_sin_diaria__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\demanda_sin_diaria\demanda_sin_diaria__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,7,7,"[""Value_GWh""]","[""Value_GWh""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b002__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b002__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b003__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b003__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b004__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b004__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b005__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b005__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b006,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b006__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b006__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b007,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b007__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b007__normalized_v2.csv,True,1680,1680,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b008,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b008__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b008__normalized_v2.csv,True,336,336,"[""Value_MW""]","[""Value_MW""]",True,True
disponibilidad_declarada_recurso,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,1680,1680,"[""Value_GWh""]","[""Value_MW""]",True,True
disponibilidad_declarada_recurso,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b002__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b002__normalized_v2.csv,True,1680,1680,"[""Value_GWh""]","[""Value_MW""]",True,True
