target,severity,issue,Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour01,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour02,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour03,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour04,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour05,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour06,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour07,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour08,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour09,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour10,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour11,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour12,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour13,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour14,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour15,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour16,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour17,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour18,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour19,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour20,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour21,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour22,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour23,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-01,Hour24,5QT6,nan,nan,80.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour01,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour02,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour03,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour04,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour05,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour06,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour07,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour08,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour09,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
