target,call_id,raw_path,raw_sha256,normalized_path,records,unit_catalog,unit_effective,unit_override_applied,override_reason,derived_columns,date_min,date_max,covered_code_count,covered_codes
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b001.json,4be372e6b38871bea4b1749e2ca2844ec62b4da201022a4d0c80724006cb1e66,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b001__normalized_v2.csv,63,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,9,"[""A. SAN LORENZO"", ""ALTOANCHICAYA"", ""AMOYA"", ""BATA"", ""BETANIA CP"", ""BOGOTA N.R."", ""CALIMA"", ""CAMPOALEGRE"", ""CARLOS LLERAS""]"
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b002.json,083a8ab3a0410831c21f7587effb4e04e88bea14b255b8e804a239c90325f983,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b002__normalized_v2.csv,63,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,10,"[""CAUCA SALVAJINA"", ""CHINCHINA"", ""CHUZA"", ""CONCEPCION"", ""CUCUANA"", ""DESV. BATATAS"", ""DESV. CHIVOR"", ""DESV. EEPPM (NEC,PAJ,DOL)"", ""DESV. GUARINO"", ""DESV. MANSO""]"
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b003.json,55a47196afa663b236ad40bfc7f5a8e6ac07c2b3fb9905122fc5bb6110b9c406,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b003__normalized_v2.csv,70,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,10,"[""DESV. SAN MARCOS"", ""DIGUA"", ""EL QUIMBO"", ""ESCUELA DE MINAS"", ""ESTRELLA"", ""GRANDE"", ""GUADALUPE"", ""GUATAPE"", ""GUAVIO"", ""ITUANGO""]"
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b004.json,9ca3f03be80551eac3ca2e6736ebf7319e837346f1fee2f571ad958182d7db0c,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b004__normalized_v2.csv,63,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,9,"[""MIEL I"", ""NARE CP"", ""PORCE III"", ""PORCE2 CP"", ""PRADO"", ""QUEBRADONA"", ""SAN CARLOS"", ""SAN EUGENIO"", ""SAN FRANCISCO""]"
aportes_energia_rio,aportes_energia_rio__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b005.json,fce1ded8b90c72b7b21f5885d86cdac764e530bf2c911cdb1caf36a7627b9d4e,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_rio\aportes_energia_rio__2026-06-01__2026-06-07__b005__normalized_v2.csv,28,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,4,"[""SAN MIGUEL"", ""SINU URRA"", ""SOGAMOSO"", ""TENCHE""]"
aportes_energia_sin,aportes_energia_sin__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\aportes_energia_sin\aportes_energia_sin__2026-06-01__2026-06-07__b001.json,fc5a86d736536fdb5181def6043bb2da329567b2eb2585f06de02c389a115597,data\interim\xm\pilot_20260601_20260607_normalized_v2\aportes_energia_sin\aportes_energia_sin__2026-06-01__2026-06-07__b001__normalized_v2.csv,7,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,0,[]
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001.json,9cd799285907e8d9361d2f977e0340188fbd7e657ca8b157dcd1faa21536e370,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b001__normalized_v2.csv,63,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,9,"[""2QEK"", ""3ENA"", ""4YCN"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b002.json,b655b2baaae56e4c8109aefe5f259177cb11999be26c4ac113778a2ebbb30aaf,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b002__normalized_v2.csv,70,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""CTG2"", ""CTG3"", ""CUC1"", ""DVS1"", ""ESMR"", ""GE32"", ""GEC3"", ""GTPE"", ""GTRG"", ""GVIO""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b003.json,a70460ed4a29861c171b2ae0705fb45aee179d12ba35f6e453d401849b2210c8,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b003__normalized_v2.csv,70,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""HMIN"", ""HMLG"", ""JAGS"", ""LTSJ"", ""MOY1"", ""MRL1"", ""PES1"", ""PGUG"", ""PLYS"", ""PPA1""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b004.json,59d3aeed0ba00f8b13bf18aacdd861b2be6f77b98d10663428004ace83570a2b,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b004__normalized_v2.csv,70,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""PPA2"", ""PPA3"", ""PPA4"", ""PRC2"", ""PRC3"", ""PRDO"", ""PRG1"", ""PRG2"", ""QUI1"", ""SLVJ""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b005.json,402765b9ba123d3ae2be1ad4270569f8f1477f0b158b007f30a258a6320201fa,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b005__normalized_v2.csv,70,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""SMI1"", ""SNCR"", ""SNFR"", ""SOG1"", ""TBQ3"", ""TBQ4"", ""TBST"", ""TCBE"", ""TCDT"", ""TDR1""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b006,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b006.json,7831de968bac6817640cf6d50668c28041981b98922358e033cc5db4683ee94a,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b006__normalized_v2.csv,70,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""TEC1"", ""TFL1"", ""TFL4"", ""TGJ1"", ""TGJ2"", ""TRM1"", ""TRN1"", ""TSJ1"", ""TSJ2"", ""TSR1""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b007,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b007.json,154c16026aa8623a79ba4554528dd21b64343a6b618f5dc3b60e36d1d08da488,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b007__normalized_v2.csv,70,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""TUJ1"", ""TVL1"", ""TYP1"", ""TYP2"", ""TYP3"", ""TYP4"", ""TYP5"", ""URA1"", ""ZPA2"", ""ZPA3""]"
capacidad_efectiva_neta_recurso,capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b008,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b008.json,c8a4c70ff0346dc5aee4b76c2ffda26cd71103a83b9df0ae2cadb774643263a6,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_efectiva_neta_recurso\capacidad_efectiva_neta_recurso__2026-06-01__2026-06-07__b008__normalized_v2.csv,14,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,2,"[""ZPA4"", ""ZPA5""]"
capacidad_util_energia_embalse,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001.json,6e156824b3f01bb564d7f2642af6c08be0446fa06fa122cae07b740e5c8f7ae1,data\interim\xm\pilot_20260601_20260607_normalized_v2\capacidad_util_energia_embalse\capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001__normalized_v2.csv,63,kWh,kWh,False,,"[""Value_GWh""]",2026-06-01,2026-06-07,9,"[""AGREGADO BOGOTA"", ""ALTOANCHICAYA"", ""AMANI"", ""BETANIA"", ""CALIMA1"", ""CHUZA"", ""EL QUIMBO"", ""ESMERALDA"", ""GUAVIO""]"
