Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
2026-06-01,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour16,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour17,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour18,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour19,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour20,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour21,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour22,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour23,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-01,Hour24,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-02,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
