target,metric_id,entity,unit_catalog,unit_effective,unit_override_applied,derived_column,derived_columns,records,frequency,date_min,date_max,nulls,duplicates,value_min,value_max,derived_min,derived_max,schema_columns
aportes_energia_rio,AporEner,Rio,kWh,kWh,False,Value_GWh,"[""Value_GWh""]",287,daily_or_periodic,2026-06-01,2026-06-07,287,0,3959.42,56074241.83,0.00395942,56.07424183,"[""Date"", ""Id"", ""code"", ""name"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_GWh""]"
aportes_energia_sin,AporEner,Sistema,kWh,kWh,False,Value_GWh,"[""Value_GWh""]",7,daily_or_periodic,2026-06-01,2026-06-07,21,0,202043401.47,315542922.45,202.04340147,315.54292245,"[""Date"", ""Id"", ""code"", ""name"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_GWh""]"
capacidad_efectiva_neta_recurso,CapEfecNeta,Recurso,kW,kW,False,Value_MW,"[""Value_MW""]",497,daily_or_periodic,2026-06-01,2026-06-07,994,0,8000.0,1250000.0,8.0,1250.0,"[""Date"", ""Id"", ""code"", ""name"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_MW""]"
capacidad_util_energia_embalse,CapaUtilDiarEner,Embalse,kWh,kWh,False,Value_GWh,"[""Value_GWh""]",168,daily_or_periodic,2026-06-01,2026-06-07,168,0,36477868.0,4138288344.0,36.477868,4138.288344,"[""Date"", ""Id"", ""code"", ""name"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_GWh""]"
capacidad_util_energia_sin,CapaUtilDiarEner,Sistema,kWh,kWh,False,Value_GWh,"[""Value_GWh""]",7,daily_or_periodic,2026-06-01,2026-06-07,21,0,16930501378.0,16930501378.0,16930.501378,16930.501378,"[""Date"", ""Id"", ""code"", ""name"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_GWh""]"
demanda_real_sistema_horaria,DemaReal,Sistema,kWh,kWh,False,Value_GWh,"[""Value_GWh""]",168,hourly,2026-06-01,2026-06-07,336,0,7470184.58,12168798.11,7.47018458,12.16879811,"[""Date"", ""Id"", ""code"", ""name"", ""Hour"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_GWh""]"
demanda_sin_diaria,DemaSIN,Sistema,kWh,kWh,False,Value_GWh,"[""Value_GWh""]",7,daily_or_periodic,2026-06-01,2026-06-07,21,0,209870742.18,257377052.85,209.87074218,257.37705285,"[""Date"", ""Id"", ""code"", ""name"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_GWh""]"
disponibilidad_comercial_recurso,DispoCome,Recurso,kW,kW,False,Value_MW,"[""Value_MW""]",12096,hourly,2026-06-01,2026-06-07,28338,0,196.62,1240000.0,0.19662,1240.0,"[""Date"", ""Id"", ""code"", ""name"", ""Hour"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_MW""]"
disponibilidad_declarada_recurso,DispoDeclarada,Recurso,kWh,kW,True,Value_MW,"[""Value_MW""]",12096,hourly,2026-06-01,2026-06-07,12096,0,0.0,1240000.0,0.0,1240.0,"[""Date"", ""Id"", ""code"", ""name"", ""Hour"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_MW""]"
disponibilidad_real_recurso,DispoReal,Recurso,kW,kW,False,Value_MW,"[""Value_MW""]",12096,hourly,2026-06-01,2026-06-07,28250,0,533.0,1240000.0,0.533,1240.0,"[""Date"", ""Id"", ""code"", ""name"", ""Hour"", ""Value"", ""unit_catalog"", ""unit_effective"", ""unit_override_applied"", ""override_reason"", ""Value_MW""]"
