fecha,motivo_exclusion
2023-01-01,importaciones_unknown_empty_window;balance_no_calculable
2023-01-02,importaciones_unknown_empty_window;balance_no_calculable
2023-01-03,importaciones_unknown_empty_window;balance_no_calculable
2023-01-04,importaciones_unknown_empty_window;balance_no_calculable
2023-01-05,importaciones_unknown_empty_window;balance_no_calculable
2023-01-06,importaciones_unknown_empty_window;balance_no_calculable
2023-01-07,importaciones_unknown_empty_window;balance_no_calculable
2023-01-08,importaciones_unknown_empty_window;balance_no_calculable
2023-01-09,importaciones_unknown_empty_window;balance_no_calculable
2023-01-10,importaciones_unknown_empty_window;balance_no_calculable
2023-01-11,importaciones_unknown_empty_window;balance_no_calculable
2023-01-12,importaciones_unknown_empty_window;balance_no_calculable
2023-01-13,importaciones_unknown_empty_window;balance_no_calculable
2023-01-14,importaciones_unknown_empty_window;balance_no_calculable
2023-01-15,importaciones_unknown_empty_window;balance_no_calculable
2023-01-16,importaciones_unknown_empty_window;balance_no_calculable
2023-01-17,importaciones_unknown_empty_window;balance_no_calculable
2023-01-18,importaciones_unknown_empty_window;balance_no_calculable
2023-01-19,importaciones_unknown_empty_window;balance_no_calculable
2023-01-20,importaciones_unknown_empty_window;balance_no_calculable
2023-01-21,importaciones_unknown_empty_window;balance_no_calculable
2023-01-22,importaciones_unknown_empty_window;balance_no_calculable
2023-01-23,importaciones_unknown_empty_window;balance_no_calculable
2023-01-24,importaciones_unknown_empty_window;balance_no_calculable
2023-01-25,importaciones_unknown_empty_window;balance_no_calculable
2023-01-26,importaciones_unknown_empty_window;balance_no_calculable
2023-01-27,importaciones_unknown_empty_window;balance_no_calculable
2023-01-28,importaciones_unknown_empty_window;balance_no_calculable
2023-01-29,importaciones_unknown_empty_window;balance_no_calculable
2023-01-30,importaciones_unknown_empty_window;balance_no_calculable
2024-08-23,importaciones_unknown_empty_window;balance_no_calculable
2024-08-24,importaciones_unknown_empty_window;balance_no_calculable
2024-08-25,importaciones_unknown_empty_window;balance_no_calculable
2024-08-26,importaciones_unknown_empty_window;balance_no_calculable
2024-08-27,importaciones_unknown_empty_window;balance_no_calculable
2024-08-28,importaciones_unknown_empty_window;balance_no_calculable
2024-08-29,importaciones_unknown_empty_window;balance_no_calculable
2024-08-30,importaciones_unknown_empty_window;balance_no_calculable
2024-08-31,importaciones_unknown_empty_window;balance_no_calculable
2024-09-01,importaciones_unknown_empty_window;balance_no_calculable
2024-09-02,importaciones_unknown_empty_window;balance_no_calculable
2024-09-03,importaciones_unknown_empty_window;balance_no_calculable
2024-09-04,importaciones_unknown_empty_window;balance_no_calculable
2024-09-05,importaciones_unknown_empty_window;balance_no_calculable
2024-09-06,importaciones_unknown_empty_window;balance_no_calculable
2024-09-07,importaciones_unknown_empty_window;balance_no_calculable
2024-09-08,importaciones_unknown_empty_window;balance_no_calculable
2024-09-09,importaciones_unknown_empty_window;balance_no_calculable
2024-09-10,importaciones_unknown_empty_window;balance_no_calculable
2024-09-11,importaciones_unknown_empty_window;balance_no_calculable
2024-09-12,importaciones_unknown_empty_window;balance_no_calculable
2024-09-13,importaciones_unknown_empty_window;balance_no_calculable
2024-09-14,importaciones_unknown_empty_window;balance_no_calculable
2024-09-15,importaciones_unknown_empty_window;balance_no_calculable
2024-09-16,importaciones_unknown_empty_window;balance_no_calculable
2024-09-17,importaciones_unknown_empty_window;balance_no_calculable
2024-09-18,importaciones_unknown_empty_window;balance_no_calculable
2024-09-19,importaciones_unknown_empty_window;balance_no_calculable
2024-09-20,importaciones_unknown_empty_window;balance_no_calculable
2024-09-21,importaciones_unknown_empty_window;balance_no_calculable
